## JACUSA2 Version: 2.0.0-RC18 rt-arrest -F 1280 -c 4 -p 10 -P1 FR-SECONDSTRAND -P2 FR-SECONDSTRAND -r MazF_vs_cond2_FTO_RC18_rtarrest_plain_result.out SRR8450805_STARmapping_uniq_rmdup.bam,SRR8450807_STARmapping_uniq_rmdup.bam,SRR8450809_STARmapping_uniq_rmdup.bam SRR8450806_STARmapping_uniq_rmdup.bam,SRR8450808_STARmapping_uniq_rmdup.bam,SRR8450810_STARmapping_uniq_rmdup.bam
#contig	start	end	name	pvalue	strand	arrest11	through11	arrest12	through12	arrest13	through13	arrest21	through21	arrest22	through22	arrest23	through23	info	filter	ref
1	917521	917522	rt-arrest	0.04044566710245734	-	1,0,0,0	13,0,0,0	2,0,0,0	17,0,0,0	3,0,0,0	12,0,0,0	5,0,0,0	11,0,0,0	6,0,0,0	10,0,0,0	3,0,0,0	9,0,0,0	arrest_score=4.199090452199016	*	A
1	918934	918935	rt-arrest	0.04079954576615974	-	4,0,0,0	18,0,0,0	3,0,0,0	7,0,0,0	*	12,0,0,0	*	12,0,0,0	*	19,0,0,0	*	11,0,0,0	arrest_score=4.184321303814841	*	A
1	1055601	1055602	rt-arrest	4.4044739448723114E-4	+	1,0,0,0	22,0,0,0	1,0,0,0	30,0,0,0	*	29,0,0,0	8,0,0,0	18,0,0,0	5,0,0,0	7,0,0,0	5,0,0,0	14,0,0,0	arrest_score=12.352283554842444	*	A
1	1217104	1217105	rt-arrest	0.042811519170940726	-	*	23,0,0,0	*	29,0,0,0	1,0,0,0	34,0,0,0	4,0,0,0	30,0,0,0	4,0,0,0	36,0,0,0	1,0,0,0	17,0,0,0	arrest_score=4.102829127601581	*	A
1	1223353	1223354	rt-arrest	0.047208896452689	-	*	12,0,0,0	1,0,0,0	7,0,0,0	4,0,0,0	21,0,0,0	2,0,0,0	41,0,0,0	*	31,0,0,0	*	12,0,0,0	arrest_score=3.937927789534342	*	A
1	1234766	1234767	rt-arrest	0.029508310212267408	+	1,0,0,0	19,0,0,0	2,0,0,0	21,0,0,0	2,0,0,0	8,0,0,0	5,0,0,0	11,0,0,0	5,0,0,0	3,0,0,0	2,0,0,0	11,0,0,0	arrest_score=4.737710854199321	*	A
1	1309573	1309574	rt-arrest	0.018414233227027954	+	5,0,0,0	28,0,0,0	4,0,0,0	21,0,0,0	2,0,0,0	23,0,0,0	5,0,0,0	12,0,0,0	6,0,0,0	16,0,0,0	7,0,0,0	14,0,0,0	arrest_score=5.556305662025807	*	A
1	1544922	1544923	rt-arrest	0.039953434242408936	-	2,0,0,0	55,0,0,0	4,0,0,0	67,0,0,0	4,0,0,0	63,0,0,0	3,0,0,0	127,0,0,0	1,0,0,0	86,0,0,0	1,0,0,0	76,0,0,0	arrest_score=4.219860972138122	*	A
1	1664991	1664992	rt-arrest	0.004564051834756722	-	9,0,0,0	7,0,0,0	6,0,0,0	14,0,0,0	9,0,0,0	14,0,0,0	11,0,0,0	2,0,0,0	10,0,0,0	2,0,0,0	8,0,0,0	4,0,0,0	arrest_score=8.044559384092594	*	A
1	3746574	3746575	rt-arrest	0.03605920370482185	-	1,0,0,0	3,0,0,0	3,0,0,0	13,0,0,0	4,0,0,0	7,0,0,0	8,0,0,0	8,0,0,0	3,0,0,0	2,0,0,0	3,0,0,0	1,0,0,0	arrest_score=4.394302644785455	*	A
